LocationZip,Latitude,Longitude,geopoint
40763,36.681189,-83.95156,36.681189
,,,
44275,41.101909,-82.10234,41.101909
,,,
44718,40.850683,-81.43773,40.850683
,,,
46325,41.461543,-87.372779,41.461543
,,,
53584,43.279435,-90.287566,43.279435
,,,
54525,46.429932,-90.22247,46.429932
,,,
55379,44.776138,-93.52556,44.776138
,,,
49745,46.01207,-84.45048,46.01207
,,,
49838,46.095949,-85.71737,46.095949
,,,
30340,33.899381,-84.25367,33.899381
,,,
13680,44.593588,-75.32389,44.593588
,,,
16613,40.554187,-78.5406,40.554187
,,,
20337,38.893311,-77.014647,38.893311
,,,
20442,38.895977,-77.017668,38.895977
,,,
20622,38.458322,-76.83947,38.458322
,,,
20724,39.101646,-76.80334,39.101646
,,,
23065,37.801783,-77.92431,37.801783
,,,
4497,45.733543,-68.05875,45.733543
,,,
10710,40.96555,-73.84506,40.96555
,,,
11803,40.779911,-73.47948,40.779911
,,,
75435,33.507909,-95.31828,33.507909
,,,
75974,31.943273,-94.24291,31.943273
,,,
76459,33.277727,-98.39461,33.277727
,,,
65283,39.539711,-91.86679,39.539711
,,,
14166,42.4511,-79.415421,42.4511
,,,
16112,40.976839,-80.49346,40.976839
,,,
3293,43.967542,-71.840883,43.967542
,,,
6386,41.464758,-72.127301,41.464758
,,,
6456,41.538017,-72.525208,41.538017
,,,
6530,41.365709,-72.927507,41.365709
,,,
7041,40.724168,-74.29913,40.724168
,,,
20552,38.893311,-77.014647,38.893311
,,,
22920,37.987812,-78.79701,37.987812
,,,
23950,36.678507,-78.08098,36.678507
,,,
76238,33.491311,-97.39136,33.491311
,,,
77539,29.468772,-95.02689,29.468772
,,,
80139,39.51474,-104.744145,39.51474
,,,
95941,39.51642,-121.26853,39.51642
,,,
6706,41.537896,-73.02827,41.537896
,,,
61469,40.957929,-90.93608,40.957929
,,,
7007,40.79185,-74.245241,40.79185
,,,
